id,分類名稱,分類代號,建立時間,user_id
"7e0437fb-aa21-4f9f-a445-229c89f8b1d2","吉伊卡哇","CKW","2026-04-21T09:47:50.841266+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"c9918fe5-7342-4e85-8d20-bd990919f80f","孤獨搖滾","BTR","2026-04-21T09:47:59.125843+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"09e53d9f-77a7-42bb-8f96-edae2217bcaa","崩鐵","HSR","2026-04-21T09:48:06.258082+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2d7db463-6aee-424b-bcc6-6a208c5989e0","排球少年","HQ","2026-04-21T09:48:12.235066+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"0c3ffabf-3693-4cdd-acbb-984ca51326b5","英雄聯盟","LOL","2026-04-21T09:49:56.440753+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
