id,日期,項目內容,收支類型,金額,備註,建立時間,user_id
"d75601f0-3ef5-4b36-9ac0-88257e60a5dc","2025-05-09T00:00:00+00:00","集運","支出","540","","2026-04-23T08:08:55.879129+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"fcc24c9f-c60e-496d-bdb1-a7024eea3f0b","2025-05-09T00:00:00+00:00","集運","支出","824","","2026-04-23T08:09:12.795932+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"57107588-0d93-4c80-ae93-d8ed104d86a1","2025-05-09T00:00:00+00:00","稅金","支出","410","","2026-04-23T08:09:56.765485+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2aff82ff-8e31-48ad-9da3-0480551b7ef1","2025-05-17T00:00:00+00:00","海外手續費","支出","849","","2026-04-23T08:10:15.049908+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"568f3d84-cc8f-430f-9a2c-560b6bb5e9ec","2025-05-21T00:00:00+00:00","集運","支出","438","","2026-04-23T08:10:33.716956+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"446977c0-b342-44c2-ae55-47447b09755e","2025-05-21T00:00:00+00:00","稅金","支出","410","","2026-04-23T08:11:03.57922+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"35d90a35-7d39-4c1e-b838-765de4e74240","2025-05-27T00:00:00+00:00","集運","支出","570","","2026-04-23T08:11:18.29889+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"b207184a-1ac6-4ea6-88c5-a2eb27073805","2025-06-02T00:00:00+00:00","包材","支出","147","","2026-04-23T08:12:12.303662+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"70095aeb-90a0-4ab5-a379-0508dd89316f","2025-06-03T00:00:00+00:00","集運","支出","260","","2026-04-23T08:12:55.753687+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"bef904e1-788e-42da-a7ed-66779d21ed80","2025-06-09T00:00:00+00:00","集運","支出","672","","2026-04-23T08:13:22.727614+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2bcccbec-ba42-42f9-a5d6-d4845a4b57e7","2025-06-14T00:00:00+00:00","蝦皮廣告","支出","200","","2026-04-23T08:13:40.717106+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"207880a4-6ef5-4d8d-a8ba-55c6dc5322c0","2025-06-17T00:00:00+00:00","海外手續費","支出","701","","2026-04-23T08:14:13.018136+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"92bcad2d-92d6-4927-b0d5-375c1f7e6ee0","2025-06-23T00:00:00+00:00","集運","支出","562","","2026-04-23T08:14:28.213027+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"ad7a50fa-e62d-4a3d-aab0-95201652a52c","2025-06-23T00:00:00+00:00","包材","支出","40","","2026-04-23T08:14:37.178349+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"0188f882-df3e-4ff5-bbae-098af441d65b","2025-07-16T00:00:00+00:00","集運","支出","1349","","2026-04-23T08:14:47.888411+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"136a9e3b-5b6a-4391-87e4-fa50ec2b331d","2025-07-17T00:00:00+00:00","海外手續費","支出","645","","2026-04-23T08:14:58.301229+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"90b95268-3098-44d9-a442-db47676372a0","2025-07-23T00:00:00+00:00","集運","支出","358","","2026-04-23T08:15:10.119857+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"cf0cbfeb-7eb9-400f-accf-640479378258","2025-08-04T00:00:00+00:00","集運","支出","900","","2026-04-23T08:15:25.744942+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"435c0919-350c-4f2a-b0ab-84fd0650ecd8","2025-08-17T00:00:00+00:00","海外手續費","支出","807","","2026-04-23T08:15:35.574791+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"16bd4f94-c8e2-4b6b-a09f-8ac378bbe373","2025-08-18T00:00:00+00:00","集運","支出","834","","2026-04-23T08:32:54.116746+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"9eb6385c-5b8a-404e-bc2f-9cf045a99ab1","2025-08-26T00:00:00+00:00","集運","支出","1021","","2026-04-23T08:33:09.627913+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2546505e-5d7c-4a35-8695-6a99b7f1fcce","2025-09-24T00:00:00+00:00","集運","支出","989","","2026-04-23T08:33:26.83576+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"b50ba3b9-5e91-466d-b6f4-692821668f30","2025-10-14T00:00:00+00:00","集運","支出","786","","2026-04-23T08:33:39.41391+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"f84910cc-2fcd-4f99-a962-ccb72077473d","2025-10-15T00:00:00+00:00","包材","支出","95","","2026-04-23T08:33:51.066348+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"ab6d9737-b205-4fb7-b00f-ffbc63f6f884","2025-10-19T00:00:00+00:00","集運","支出","847","","2026-04-23T08:34:04.396616+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"0d2bbf16-8ca8-4d6e-90dc-9a4483d32fc1","2025-10-27T00:00:00+00:00","集運","支出","761","","2026-04-23T08:34:28.906373+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"d949d1e0-3b3f-4aa9-a0cf-523dd69ca67b","2025-11-07T00:00:00+00:00","集運","支出","611","","2026-04-23T08:34:37.148268+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2456c7bd-e437-4c74-9e16-27dd0063d179","2025-11-08T00:00:00+00:00","集運","支出","1177","","2026-04-23T08:34:49.706058+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"6d13146a-c3dd-4831-831e-193cdd2b66d9","2025-11-09T00:00:00+00:00","集運","支出","453","","2026-04-23T08:35:19.533955+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"dbbd227d-eb90-4830-bd9a-f545eb22cc45","2025-11-11T00:00:00+00:00","集運","支出","124","","2026-04-23T08:35:29.621522+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"5ea43b59-5def-4822-91ea-9d0ea6a2c3bb","2025-11-12T00:00:00+00:00","集運","支出","286","","2026-04-23T08:35:41.857438+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"4901d821-a73e-412b-bb8e-e7de6df50688","2025-11-13T00:00:00+00:00","集運","支出","143","","2026-04-23T08:36:29.50025+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"507bd223-d4cf-4126-a04c-43efae85bbc3","2025-12-09T00:00:00+00:00","集運","支出","4678","","2026-04-23T08:37:12.74859+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"61f34ec9-42d1-45b9-826f-fd3812732ffb","2025-12-11T00:00:00+00:00","集運","支出","2568","","2026-04-23T08:39:34.654765+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"38bf10b2-6501-4c38-8b40-e1f535ce9eec","2025-12-13T00:00:00+00:00","集運","支出","727","","2026-04-23T08:40:27.506977+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"07c362da-6180-4616-9303-9ef83dd9084d","2025-12-14T00:00:00+00:00","集運","支出","202","","2026-04-23T08:40:40.209129+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2f08b7ed-25be-4382-af4e-f93fa0a4f06f","2025-12-26T00:00:00+00:00","集運","支出","1870","","2026-04-23T08:40:55.411506+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
